Text Signature,Bytes Signature
"mint(int256,address,uint256)",0xd35f4a99
"mintBadge(int256,address,uint256)",0x80a23ddf
"mint(int256,uint256)",0x1f3a3a53
"mintToken(int256,address,uint256)",0x1b5ee6ae
"mint(int256,address,string)",0x72c3015c
mintAll(int256),0x13df7091
"demintTokens(int256,address,uint8)",0x07ef99a0
"mint(int256,bytes32)",0xd10e99fe
"mintGreen(int256,address,uint256)",0x3a7fb796
"mintGrey(int256,address,uint256)",0x77ceded8
"mint(int256,uint256,string)",0xf41bfa9e
"mintRep(int256,address,uint256)",0x24664106
"mintTokens(int256,address,uint256)",0x921b2d64
mintAllowance(int256),0xe1d001eb
mint(int256),0xbdbaae63
"_mint(int256,uint256,uint256,uint256)",0x11ae6aee
"mintParts(int256,uint16,address)",0xf6cbcab0
"mintParticularPart(int256,uint8[4],address)",0x07f95fc2
"mint_and_transfer(int256,address,uint256)",0xb3dcc5eb
get_mintable(),0xf42598f0
mintingFinished(),0x05d2035b
"mintAgents(int256,address)",0xc93b9755
"_mint(int256,address,uint256)",0xe8387af8
register_minting(address),0xf1a3de09
"mintExtraTokens(int256,uint256)",0x5800827c
"mint(int256,uint128)",0xadc042bf
"mint(int256,uint256,address)",0xeb9e0398
"mintTokens(int256,address,uint256,uint256)",0x478609f7
testFail_mint_without_add_authority_to_controller(int256),0x26c387fa
test_mint(int256),0x4f7baec0
"minttoken(address,uint256)",0x0c5fd4b2
"mintForReportingParticipant(int256,address,uint256)",0xd05461a6
"mintMigrationTokens(int256,address,uint256)",0xe3cc3570
"mintBonusTokensForGames(int256,uint256)",0x9c60839e
"mint(int256,address,uint256,bool)",0x27521702
"mintTokens(int256,uint256,uint256,address)",0x8f62905f
"mintLockCashout(int256,address,uint256)",0x89920edf
"mintTokens(int256,uint256,address,bool)",0xe3a9744b
"mintFeeTokens(int256,uint256)",0xac8648a2
mintSendTokens(int256),0x739beded
"mintForDisputeCrowdsourcer(int256,uint256)",0x448a5e11
"mintForReportingParticipant(int256,uint256)",0x866b9323
mintedTokens(),0x8d75fe05
"mint(int256,address,uint256,uint256)",0xad7bafc7
"mintInternal(int256,address,uint256)",0xcc50fc28
"mintToken(int256,address,uint256,address)",0x23e5e822
"mint(int256,address,uint256,bytes)",0x392c00a2
"mint(int256,bytes32,bytes,uint256[],bytes,bytes)",0x2d3e9efe
"unmint(int256,uint256)",0x18b64d5b
"mintReputation(int256,uint256,address,address)",0x95709441
"mintTokens(int256,uint256,address,address)",0x2c3d38f0
minter(),0x07546172
"mint(int256,address)",0xa909fc56
"mint(int256,address,uint256,bool,uint32)",0xedb08434
"_mintTokens(int256,address,uint256)",0xb706f78e
"mintWithEvent(int256,address,uint256)",0x422d37c4
"mintTokens1(int256,address,uint256,uint256,bytes32)",0x9d7da479
